namen,gerundet,cat_f,cat_d
Crésuz,-488,Perte de,Verlust von
Bättwil,385,Economie de,Gewinn von
Rorschach,-46,Perte de,Verlust von
Ligerz,9956,Economie de,Gewinn von
Bougy-Villars,2866,Economie de,Gewinn von
Romanel-sur-Morges,241,Economie de,Gewinn von
Magliaso,1465,Economie de,Gewinn von
Nusshof,-15,Perte de,Verlust von
Muzzano,891,Economie de,Gewinn von
Gempenach,NA,NA,NA
Islisberg,NA,NA,NA
Essertes,NA,NA,NA
Denges,436,Economie de,Gewinn von
Augst,-1726,Perte de,Verlust von
Dully,-142,Perte de,Verlust von
Unterramsern,-4633,Perte de,Verlust von
Villars-Sainte-Croix,348,Economie de,Gewinn von
Chavannes-près-Renens,1594,Economie de,Gewinn von
Vacallo,4327,Economie de,Gewinn von
Kilchberg (BL),-843,Perte de,Verlust von
Tolochenaz,2795,Economie de,Gewinn von
Hüttikon,NA,NA,NA
Rickenbach (TG),-992,Perte de,Verlust von
Porza,287,Economie de,Gewinn von
Brunegg,-3116,Perte de,Verlust von
Vich,155,Economie de,Gewinn von
Maroggia,-1182,Perte de,Verlust von
Obergerlafingen,1542,Economie de,Gewinn von
Vernate,95,Economie de,Gewinn von
Nidau,396,Economie de,Gewinn von
Fehren,3939,Economie de,Gewinn von
Walliswil bei Niederbipp,1926,Economie de,Gewinn von
Wiggiswil,-462,Perte de,Verlust von
Sergey,NA,NA,NA
Lutzenberg,277,Economie de,Gewinn von
Diepflingen,-823,Perte de,Verlust von
Villarsel-sur-Marly,-4256,Perte de,Verlust von
Vezia,1817,Economie de,Gewinn von
Giebenach,-1582,Perte de,Verlust von
Fürstenau,4736,Economie de,Gewinn von
Dozwil,-2876,Perte de,Verlust von
Lalden,744,Economie de,Gewinn von
Rüti bei Lyssach,196,Economie de,Gewinn von
Chêne-Bourg,447,Economie de,Gewinn von
Châtillon (FR),-4821,Perte de,Verlust von
Canobbio,213,Economie de,Gewinn von
Honau,115,Economie de,Gewinn von
Reverolle,NA,NA,NA
Gottlieben,NA,NA,NA
Kaiserstuhl,NA,NA,NA
Wiliberg,-4134,Perte de,Verlust von
Leimbach (AG),-2732,Perte de,Verlust von
Veysonnaz,-748,Perte de,Verlust von
Kriegstetten,1357,Economie de,Gewinn von
Vinzel,314,Economie de,Gewinn von
Tartegnin,526,Economie de,Gewinn von
Hüniken,NA,NA,NA
Cureglia,197,Economie de,Gewinn von
Kammersrohr,181,Economie de,Gewinn von
Burg (AG),-265,Perte de,Verlust von
Neggio,945,Economie de,Gewinn von
Chigny,1336,Economie de,Gewinn von
Saint-Saphorin (Lavaux),124,Economie de,Gewinn von
Villars-Epeney,-247,Perte de,Verlust von
Sorengo,826,Economie de,Gewinn von
Muralto,3197,Economie de,Gewinn von
Cadempino,1948,Economie de,Gewinn von
Massagno,-2235,Perte de,Verlust von
Savosa,1754,Economie de,Gewinn von
Meienried,1954,Economie de,Gewinn von
Grancia,853,Economie de,Gewinn von
Bielersee (NE),NA,NA,NA
Mauraz,41,Economie de,Gewinn von
Paudex,NA,NA,NA
Rivaz,85,Economie de,Gewinn von
