namen,gerundet,cat_f,cat_d
Le Pâquier (FR),-3912,Perte de,Verlust von
Forst-Längenbühl,12736,Economie de,Gewinn von
Saint-Oyens,58,Economie de,Gewinn von
Champtauroz,355,Economie de,Gewinn von
Rottenschwil,NA,NA,NA
Unterlunkhofen,NA,NA,NA
Lohn-Ammannsegg,-5734,Perte de,Verlust von
Walterswil (SO),5448,Economie de,Gewinn von
Kesswil,-383,Perte de,Verlust von
Granges (Veveyse),-414,Perte de,Verlust von
Binningen,5354,Economie de,Gewinn von
Grimisuat,-858,Perte de,Verlust von
Pompaples,177,Economie de,Gewinn von
Kehrsatz,11717,Economie de,Gewinn von
Rorbas,NA,NA,NA
Lüterkofen-Ichertswil,4574,Economie de,Gewinn von
Vandoeuvres,4196,Economie de,Gewinn von
Uebeschi,12673,Economie de,Gewinn von
Stetten (AG),-3131,Perte de,Verlust von
Aarburg,-2477,Perte de,Verlust von
Truttikon,NA,NA,NA
Niederdorf,-832,Perte de,Verlust von
Meinisberg,1315,Economie de,Gewinn von
Trasadingen,-2429,Perte de,Verlust von
Rebstein,-148,Perte de,Verlust von
Chêne-Bougeries,4139,Economie de,Gewinn von
Ponte Capriasca,116,Economie de,Gewinn von
Tresa,NA,NA,NA
Bossonnens,-3994,Perte de,Verlust von
Bühl,1684,Economie de,Gewinn von
Wohlenschwil,NA,NA,NA
Cartigny,3768,Economie de,Gewinn von
Maracon,12,Economie de,Gewinn von
Ménières,-4618,Perte de,Verlust von
Le Grand-Saconnex,3859,Economie de,Gewinn von
Marbach (SG),-69,Perte de,Verlust von
Oeschgen,-3166,Perte de,Verlust von
Uttwil,NA,NA,NA
Novaggio,1688,Economie de,Gewinn von
Täuffelen,162,Economie de,Gewinn von
Kirchleerau,-2685,Perte de,Verlust von
Urmein,4627,Economie de,Gewinn von
Lamone,181,Economie de,Gewinn von
Niedergösgen,5479,Economie de,Gewinn von
Bachenbülach,NA,NA,NA
Crans (VD),142,Economie de,Gewinn von
Halten,NA,NA,NA
Mont-Tramelan,-1849,Perte de,Verlust von
Oberrohrdorf,-335,Perte de,Verlust von
Corsier (GE),498,Economie de,Gewinn von
Massonnens,-4282,Perte de,Verlust von
Saules (BE),9953,Economie de,Gewinn von
Démoret,43,Economie de,Gewinn von
Interlaken,-218,Perte de,Verlust von
Bercher,235,Economie de,Gewinn von
Bettwil,NA,NA,NA
Morlon,-4889,Perte de,Verlust von
Dotzigen,1479,Economie de,Gewinn von
Elfingen,NA,NA,NA
Sommeri,NA,NA,NA
Grub (AR),2394,Economie de,Gewinn von
Olsberg,NA,NA,NA
Bofflens,155,Economie de,Gewinn von
Ittigen,1273,Economie de,Gewinn von
Masein,453,Economie de,Gewinn von
Orzens,183,Economie de,Gewinn von
Villars-le-Comte,155,Economie de,Gewinn von
Schönenbuch,5368,Economie de,Gewinn von
Egolzwil,1334,Economie de,Gewinn von
Croy,272,Economie de,Gewinn von
Rüfenach,-2318,Perte de,Verlust von
Cressier (FR),-471,Perte de,Verlust von
Suscévaz,-67,Perte de,Verlust von
Biel-Benken,5344,Economie de,Gewinn von
Biezwil,-2524,Perte de,Verlust von
Duillier,1594,Economie de,Gewinn von
Wileroltigen,195,Economie de,Gewinn von
Niederried bei Interlaken,12569,Economie de,Gewinn von
Schwadernau,1416,Economie de,Gewinn von
